Epoch,Training loss,Validation loss
0,0.598460138,0.357236445
1,0.294208705,0.227891818
2,0.187834784,0.12947689
3,0.151134327,0.129977211
4,0.134046808,0.12534605
5,0.12429776,0.114552177
6,0.107503369,0.104354553
7,0.105192624,0.11401698
8,0.094470039,0.096740447
9,0.090125799,0.122122832
10,0.092608601,0.091183051
11,0.086735107,0.087958053
12,0.077174008,0.087254845
13,0.072014309,0.078928351
14,0.069454327,0.080934152
15,0.072994083,0.081730239
16,0.067890607,0.073317282
17,0.063148908,0.076520979
18,0.059429698,0.071357019
19,0.057118513,0.069908604
20,0.055956811,0.074563362
21,0.056580152,0.070931666
22,0.057821967,0.067864768
23,0.051767766,0.063369408
24,0.051496793,0.072442338
25,0.049572956,0.070522472
26,0.046811655,0.060353193
27,0.048774026,0.076838411
28,0.046320509,0.060808435
29,0.043068264,0.060276963
30,0.042475961,0.058688629
31,0.043491498,0.060075864
32,0.047721356,0.061351761
33,0.042250756,0.060123172
34,0.040543925,0.064271882
35,0.03765415,0.058753844
36,0.037976708,0.055313308
37,0.03881263,0.060164411
38,0.037272144,0.060399856
39,0.037222005,0.054557979
40,0.035858791,0.055662636
41,0.047147915,0.067550264
42,0.036732662,0.054271199
43,0.033501126,0.056124784
44,0.033785973,0.053609122
45,0.033359345,0.054988898
46,0.032118753,0.053971495
47,0.031710777,0.054738846
48,0.031002054,0.052659061
49,0.032777894,0.05595969
50,0.030566286,0.053361982
51,0.029706795,0.051185507
52,0.028582808,0.052028645
53,0.033465631,0.052516941
54,0.028298587,0.052068859
55,0.027762787,0.050351333
56,0.027501952,0.051577244
57,0.027478129,0.050417285
58,0.027372852,0.050558701
59,0.027789127,0.053763751
60,0.02664526,0.052355938
61,0.02590806,0.048002861
62,0.026513685,0.050100062
63,0.025281813,0.049771186
64,0.02484162,0.04823311
65,0.025927098,0.049292989
66,0.028069446,0.056832638
67,0.025482299,0.051572803
68,0.023916787,0.047824975
69,0.024432149,0.050379235
70,0.023348656,0.048787698
71,0.026279878,0.094291933
72,0.030486776,0.04930431
73,0.023881456,0.049419768
74,0.023309205,0.048363984
75,0.022869118,0.049604587
76,0.022554703,0.048007913
77,0.023085289,0.049886815
78,0.022605082,0.050203308
79,0.022705242,0.048687119
80,0.022115055,0.046976931
81,0.022283643,0.049207021
82,0.022204263,0.047758617
83,0.022120589,0.047940835
84,0.022284044,0.047744509
85,0.022108933,0.061343737
86,0.029741993,0.052729454
87,0.023910291,0.048896767
88,0.021397468,0.045861393
89,0.020743955,0.047803123
90,0.020570261,0.047008052
91,0.020563914,0.045652263
92,0.020107385,0.046280488
93,0.020927636,0.048756704
94,0.020974651,0.046398811
95,0.020491729,0.048375987
96,0.021374028,0.044645313
97,0.019915584,0.047776647
98,0.020212807,0.051453914
99,0.020793075,0.047294438
100,0.018778337,0.045455843
101,0.018498447,0.044732556
102,0.019234739,0.047602143
103,0.018111262,0.04807378
104,0.018836733,0.048078049
105,0.018447112,0.045836423
106,0.018244943,0.04544476
107,0.01789974,0.044361461
108,0.018530915,0.044632889
109,0.017428476,0.044616736
110,0.017794596,0.0444008
111,0.0175939,0.04544628
112,0.018092861,0.044589993
113,0.017643176,0.044484064
114,0.017826496,0.044528749
115,0.017408639,0.045381598
116,0.016947499,0.04487725
117,0.01721886,0.04578425
118,0.017577289,0.04626051
119,0.017396634,0.043779138
120,0.016756726,0.044796817
121,0.017191391,0.046104565
122,0.016743017,0.044058494
123,0.016348535,0.044208478
124,0.017269887,0.046145581
125,0.016155556,0.046653338
126,0.016846631,0.045956954
127,0.01647287,0.04577747
128,0.016031893,0.046136294
129,0.017785527,0.044306837
130,0.015711045,0.045533177
